"Cancer Type","Women.Ref","Women.Height.HR","Women.95CI.Low","Women.95CI.High","Women.BMI.RR","Men.Ref","Men.Height.HR","Men.95CI.Low","Men.95CI.High","Men.BMI.RR","All.Height.HR","All.95CI.Low","All.95CI.High"
"Thyroid","23-25",1.36,1.26,1.37,1.144,"23-25",1.17,1.04,1.31,1.33,1.26,1.18,1.34
"Skin - Melanoma","22-24",1.27,1.22,1.33,0.96,"21,22",1.2,1.15,1.25,1.17,1.24,1.2,1.27
"NH Lymphoma","22-25",1.17,1.12,1.22,1.07,"23-25",1.17,1.11,1.22,1.06,1.17,1.13,1.21
"Colon","22-25",1.23,1.18,1.27,1.09,"23-25",1.12,1.08,1.16,1.24,1.17,1.14,1.2
"Urinary Tract – Kidney","22-25",1.22,1.14,1.3,1.34,"23-25",1.15,1.09,1.21,1.24,1.18,1.14,1.23
"Ovary","22-25",1.16,1.11,1.21,1.03,"NA","NA","NA","NA","NA","NA","NA","NA"
"Breast","22-25",1.15,1.14,1.17,1.12,"NA","NA","NA","NA","NA","NA","NA","NA"
"Endometrium","22-25",1.15,1.11,1.19,1.59,"NA","NA","NA","NA","NA","NA","NA","NA"
"Biliary tract","24,26",1.11,0.95,1.3,1.59,"22,23",1.18,1.04,1.33,1.09,1.14,1.04,1.26
"CNS","22-25",1.18,1.1,1.25,"NA","23-25",1.09,1.01,1.18,"NA",1.13,1.08,1.19
"Rectum","22-25",1.12,1.07,1.18,1.02,"23-25",1.11,1.06,1.16,1.09,1.11,1.08,1.15
"Leukemia","22,23,25",1.23,1.14,1.33,1.17,"21,23",1.03,0.96,1.11,1.08,1.13,1.07,1.19
"Lung – never smoker","22-25",1.11,1.06,1.16,0.91,"23-25",1.1,1.06,1.14,0.91,1.1,1.07,1.14
"Liver","22-25",1.16,1.04,1.3,1.07,"23-25",1.1,1.06,1.14,1.24,1.13,1.09,1.17
"Multiple myeloma","22,23",1.11,1.01,1.21,1.11,21,1.07,0.96,1.19,1.11,1.09,1.02,1.17
"Urinary Tract – Bladder","22-24",1,0.93,1.07,"NA","21,22",1.07,1.02,1.11,"NA",1.03,1,1.07
"Prostate","NA","NA","NA","NA","NA","23-25",1.04,1.02,1.06,1.03,"NA","NA","NA"
"Lung – smoker","22-24",1.02,0.98,1.05,0.76,"21,22",1.04,1.01,1.07,0.76,1.03,1.01,1.05
"Pancreas","22-25",1.02,0.96,1.08,1.1,"23-25",1.05,0.98,1.12,1.07,1.03,0.99,1.08
"Oesophagus","22-24",0.98,0.85,1.14,1.51,"23-25",1.06,0.99,1.14,1.52,1.02,0.96,1.09
"Stomach","22-25",0.99,0.93,1.05,1.04,"23-25",1,0.97,1.04,0.97,1,0.97,1.03
"Mouth/Pharynx","22-24",0.95,0.88,1.03,"NA","21,22",1.02,0.94,1.11,"NA",0.99,0.93,1.05
"Cervix","23-25",0.97,0.87,1.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Overall Mean","NA",1.12,1.09,1.14,"NA","NA",1.09,1.08,1.1,"NA",1.11,1.09,1.12
